iter	Passed	Remaining
592	8254	5665
593	8268	5651
594	8281	5636
595	8293	5622
596	8305	5606
597	8318	5591
598	8331	5577
599	8344	5562
600	8355	5546
601	8367	5532
602	8380	5517
603	8393	5503
604	8404	5487
605	8418	5473
606	8430	5458
607	8443	5444
608	8455	5428
609	8468	5414
610	8484	5401
611	8498	5388
612	8511	5373
613	8524	5359
614	8535	5343
615	8549	5329
616	8561	5314
617	8574	5300
618	8586	5284
619	8598	5270
620	8611	5255
621	8624	5241
622	8636	5225
623	8648	5211
624	8661	5196
625	8674	5182
626	8685	5167
627	8698	5152
628	8711	5138
629	8724	5123
630	8735	5108
631	8747	5093
632	8760	5079
633	8773	5064
634	8785	5050
635	8796	5034
636	8811	5021
637	8823	5006
638	8837	4992
639	8848	4977
640	8861	4963
641	8875	4949
642	8888	4935
643	8902	4921
644	8914	4906
645	8926	4891
646	8943	4879
647	8959	4867
648	8977	4855
649	8990	4841
650	9004	4827
651	9017	4813
652	9029	4798
653	9041	4783
654	9054	4769
655	9067	4755
656	9079	4739
657	9091	4725
658	9105	4711
659	9118	4697
660	9134	4684
661	9147	4670
662	9158	4655
663	9171	4640
664	9184	4626
665	9198	4612
666	9209	4597
667	9222	4583
668	9234	4569
669	9247	4554
670	9259	4539
671	9272	4525
672	9284	4511
673	9297	4497
674	9308	4481
675	9321	4467
676	9334	4453
677	9347	4439
678	9360	4425
679	9371	4410
680	9384	4395
681	9397	4381
682	9411	4368
683	9423	4353
684	9437	4339
685	9456	4328
686	9471	4315
687	9487	4302
688	9501	4288
689	9516	4275
690	9529	4261
691	9542	4247
692	9554	4232
693	9567	4218
694	9580	4204
695	9593	4190
696	9606	4176
697	9617	4161
698	9630	4146
699	9643	4133
700	9657	4119
701	9668	4104
702	9681	4090
703	9694	4075
704	9707	4062
705	9718	4047
706	9732	4033
707	9744	4019
708	9758	4005
709	9771	3991
710	9783	3976
711	9797	3962
712	9810	3949
713	9824	3935
714	9837	3921
715	9849	3906
716	9865	3893
717	9879	3880
718	9894	3866
719	9907	3852
720	9923	3839
721	9939	3827
722	9956	3814
723	9978	3804
724	10002	3794
725	10020	3781
726	10038	3769
727	10058	3758
728	10072	3744
729	10090	3732
730	10108	3719
731	10124	3706
732	10138	3692
733	10151	3678
734	10164	3664
735	10176	3650
736	10189	3636
737	10202	3622
738	10216	3608
739	10227	3593
740	10240	3579
